"good" "purpose" "fico" "loan_amnt" "income"
"good" "vacation_wedding" 722 8000 NA
"good" "debt_consolidation" 727 14125 33000
"good" "debt_consolidation" 692 14000 NA
"good" "small_business" 692 13200 26400
"good" "vacation_wedding" 682 4000 NA
"bad" "debt_consolidation" 687 4000 NA
"good" "debt_consolidation" 777 10500 65000
"good" "major_purchase" 707 5500 59000
"good" "debt_consolidation" 697 7350 33000
"bad" "debt_consolidation" 722 10000 39000
"good" "debt_consolidation" 737 12000 NA
"good" "home_improvement" 712 5000 NA
"good" "other" 747 8000 31000
"good" "other" 702 4500 50700
"good" "debt_consolidation" 722 18000 75000
"good" "debt_consolidation" 722 12300 30000
"good" "debt_consolidation" 672 12000 NA
"good" "debt_consolidation" 697 10000 NA
"good" "other" 742 6000 NA
"good" "debt_consolidation" 697 12000 NA
"bad" "other" 717 12000 NA
"good" "debt_consolidation" 692 7000 75000
"good" "debt_consolidation" 722 35000 85000
"good" "other" 747 1400 NA
"bad" "small_business" 732 16000 35000
"good" "debt_consolidation" 702 3200 NA
"good" "medical" 737 8000 NA
"bad" "debt_consolidation" 727 11875 25920
"good" "home_improvement" 792 5000 NA
"good" "small_business" 752 1800 NA
"good" "debt_consolidation" 737 35000 85000
"good" "debt_consolidation" 742 18000 78000
"bad" "debt_consolidation" 742 14000 NA
"good" "debt_consolidation" 687 5000 NA
"good" "debt_consolidation" 677 8000 70000
"good" "debt_consolidation" 752 10000 NA
"good" "debt_consolidation" 742 10000 50000
"good" "debt_consolidation" 687 12000 35000
"good" "debt_consolidation" 742 23200 65000
"good" "debt_consolidation" 712 18000 84000
"good" "debt_consolidation" 667 4800 NA
"good" "debt_consolidation" 697 7300 NA
"good" "debt_consolidation" 732 10400 40000
"good" "home_improvement" 712 6600 NA
"good" "debt_consolidation" 717 12000 NA
"good" "debt_consolidation" 672 13250 52000
"good" "debt_consolidation" 707 12000 92500
"good" "debt_consolidation" 742 25000 61000
"good" "other" 707 6000 NA
"good" "debt_consolidation" 747 12000 NA
"good" "debt_consolidation" 707 14400 NA
"good" "debt_consolidation" 682 10000 NA
"good" "debt_consolidation" 702 8000 NA
"bad" "debt_consolidation" 667 8000 NA
"bad" "small_business" 757 30000 70000
"bad" "home_improvement" 702 18000 NA
"good" "debt_consolidation" 707 13250 NA
"good" "debt_consolidation" 687 14000 NA
"bad" "debt_consolidation" 667 20000 59000
"good" "debt_consolidation" 682 10000 40000
"good" "debt_consolidation" 687 35000 85000
"good" "debt_consolidation" 757 4000 NA
"good" "debt_consolidation" 712 13000 NA
"good" "debt_consolidation" 722 28000 1e+05
"good" "debt_consolidation" 672 10000 NA
"good" "debt_consolidation" 747 20000 45000
"good" "debt_consolidation" 732 18000 110000
"bad" "debt_consolidation" 682 9000 60000
"bad" "debt_consolidation" 687 25000 61500
"good" "other" 697 10000 NA
"good" "debt_consolidation" 767 4200 NA
"bad" "debt_consolidation" 717 20000 78216
"good" "debt_consolidation" 707 18000 62000
"good" "debt_consolidation" 682 24000 50964
"good" "debt_consolidation" 667 4475 NA
"good" "debt_consolidation" 727 20000 56000
"good" "debt_consolidation" 682 12000 50700
"good" "debt_consolidation" 692 18000 60000
"bad" "debt_consolidation" 697 5000 30000
"good" "other" 752 3000 NA
"good" "debt_consolidation" 697 25000 75000
"good" "debt_consolidation" 677 18000 90000
"bad" "debt_consolidation" 707 12000 NA
"good" "other" 677 20000 50000
"good" "debt_consolidation" 692 10000 84000
"good" "debt_consolidation" 692 15000 155000
"good" "debt_consolidation" 727 12000 62000
"good" "debt_consolidation" 752 20000 175000
"good" "debt_consolidation" 697 6300 NA
"good" "debt_consolidation" 702 20000 50000
"good" "debt_consolidation" 727 35000 208000
"good" "home_improvement" 697 8250 35004
"good" "home_improvement" 727 20000 85000
"bad" "debt_consolidation" 697 10000 NA
"bad" "major_purchase" 767 24000 116400
"good" "debt_consolidation" 697 14400 NA
"good" "debt_consolidation" 672 6000 NA
"good" "debt_consolidation" 677 22000 73000
"bad" "debt_consolidation" 697 12000 57200
"good" "debt_consolidation" 667 16000 114000
"good" "debt_consolidation" 712 10000 NA
"good" "home_improvement" 672 16000 54000
"bad" "debt_consolidation" 697 10000 35000
"good" "debt_consolidation" 677 3500 NA
"good" "debt_consolidation" 712 9600 NA
"good" "debt_consolidation" 727 9875 40000
"good" "debt_consolidation" 692 21500 59000
"good" "debt_consolidation" 732 4800 48000
"good" "major_purchase" 772 7800 NA
"good" "debt_consolidation" 707 20000 70000
"bad" "debt_consolidation" 737 9750 NA
"good" "debt_consolidation" 712 18000 91000
"good" "other" 762 5000 NA
"good" "debt_consolidation" 677 9000 45000
"good" "debt_consolidation" 712 7200 NA
"good" "other" 672 3000 53004
"bad" "debt_consolidation" 687 25000 60000
"good" "debt_consolidation" 692 25000 82000
"good" "debt_consolidation" 667 10000 53000
"bad" "debt_consolidation" 697 8875 35360
"good" "debt_consolidation" 712 15550 54000
"good" "debt_consolidation" 717 17000 NA
"good" "debt_consolidation" 707 7500 NA
"good" "debt_consolidation" 722 8875 NA
"good" "debt_consolidation" 677 4500 NA
"good" "debt_consolidation" 692 5800 NA
"good" "debt_consolidation" 707 10000 NA
"good" "debt_consolidation" 717 10000 NA
"good" "debt_consolidation" 712 14000 NA
"good" "debt_consolidation" 687 25000 85000
"bad" "debt_consolidation" 717 12000 32000
"good" "debt_consolidation" 767 24000 75000
"good" "debt_consolidation" 682 14000 NA
"good" "debt_consolidation" 717 12000 40246
"bad" "debt_consolidation" 737 15000 30000
"bad" "debt_consolidation" 697 8050 36000
"good" "debt_consolidation" 687 5600 NA
"good" "debt_consolidation" 707 7500 NA
"good" "debt_consolidation" 697 7000 90000
"good" "debt_consolidation" 722 5400 NA
"good" "debt_consolidation" 722 16000 90000
"good" "home_improvement" 742 35000 105000
"bad" "debt_consolidation" 797 6000 30084
"good" "major_purchase" 742 4125 NA
"good" "debt_consolidation" 667 9800 NA
"good" "debt_consolidation" 682 15700 63000
"good" "debt_consolidation" 732 5000 276000
"good" "debt_consolidation" 707 9900 26400
"good" "home_improvement" 687 4000 24000
"good" "debt_consolidation" 722 15000 68400
"good" "debt_consolidation" 677 6250 NA
"good" "debt_consolidation" 672 6400 NA
"good" "major_purchase" 717 8850 89122
"good" "debt_consolidation" 672 12000 NA
"good" "debt_consolidation" 737 15000 30000
"good" "debt_consolidation" 672 6500 NA
"good" "debt_consolidation" 672 8000 NA
"good" "home_improvement" 677 30000 92000
"good" "debt_consolidation" 692 15000 100500
"good" "debt_consolidation" 692 10200 NA
"good" "debt_consolidation" 677 9000 NA
"good" "debt_consolidation" 672 6500 NA
"good" "debt_consolidation" 702 23000 95000
"good" "debt_consolidation" 707 2000 NA
"good" "debt_consolidation" 692 8000 30000
"good" "debt_consolidation" 732 8875 30000
"bad" "other" 677 1500 17000
"good" "debt_consolidation" 702 8000 NA
"bad" "debt_consolidation" 732 20000 75000
"good" "debt_consolidation" 692 6500 NA
"good" "debt_consolidation" 687 9600 27000
"good" "debt_consolidation" 727 25975 130000
"good" "home_improvement" 732 10000 NA
"good" "debt_consolidation" 722 15000 80000
"good" "debt_consolidation" 762 9000 NA
"good" "debt_consolidation" 732 10000 72500
"bad" "major_purchase" 687 1000 NA
"good" "debt_consolidation" 722 14000 30000
"bad" "debt_consolidation" 687 8500 50000
"good" "debt_consolidation" 672 15000 75000
"good" "other" 662 4500 NA
"good" "major_purchase" 727 3000 NA
"good" "home_improvement" 732 10000 120000
"good" "debt_consolidation" 717 21250 42500
"bad" "debt_consolidation" 747 33425 75000
"good" "debt_consolidation" 702 35000 195000
"good" "debt_consolidation" 682 7200 54990
"bad" "debt_consolidation" 737 18000 40000
"good" "debt_consolidation" 757 23000 137000
"bad" "debt_consolidation" 702 20000 60000
"good" "debt_consolidation" 672 6000 NA
"good" "debt_consolidation" 717 7000 46000
"good" "debt_consolidation" 707 21000 135000
"good" "debt_consolidation" 757 8250 31500
"good" "debt_consolidation" 707 13000 65000
"good" "debt_consolidation" 792 18000 NA
"good" "other" 792 7200 NA
"good" "debt_consolidation" 722 16500 NA
"good" "debt_consolidation" 732 8125 NA
"good" "debt_consolidation" 767 18800 82000
"good" "debt_consolidation" 712 26800 82000
"good" "debt_consolidation" 732 19200 42000
"good" "debt_consolidation" 697 12875 27600
"good" "debt_consolidation" 692 4000 NA
"good" "debt_consolidation" 667 4000 NA
"good" "debt_consolidation" 717 12000 NA
"good" "medical" 692 2625 NA
"good" "debt_consolidation" 722 18000 40900
"good" "debt_consolidation" 697 7000 NA
"good" "debt_consolidation" 692 11300 NA
"good" "debt_consolidation" 722 4000 130000
"good" "debt_consolidation" 792 8000 NA
"bad" "debt_consolidation" 662 14400 51871
"good" "debt_consolidation" 697 4375 15000
"good" "debt_consolidation" 737 4100 NA
"good" "other" 712 6000 47000
"good" "debt_consolidation" 697 4200 43000
"good" "home_improvement" 762 4000 120000
"bad" "other" 707 3000 NA
"good" "major_purchase" 672 5400 NA
"bad" "small_business" 672 15000 110000
"good" "debt_consolidation" 687 20000 80000
"good" "debt_consolidation" 712 10400 44000
"good" "debt_consolidation" 687 4500 51600
"good" "debt_consolidation" 692 11500 38500
"good" "home_improvement" 762 10000 75000
"good" "debt_consolidation" 722 18225 37320
"good" "debt_consolidation" 722 3600 NA
"good" "major_purchase" 762 18500 1e+05
"good" "debt_consolidation" 682 16800 70000
"bad" "debt_consolidation" 667 10000 NA
"good" "debt_consolidation" 662 15000 NA
"good" "major_purchase" 707 8000 85000
"good" "debt_consolidation" 717 25000 83004
"bad" "debt_consolidation" 732 16000 51000
"good" "debt_consolidation" 702 8000 55000
"good" "debt_consolidation" 727 7200 47000
"good" "debt_consolidation" 737 12000 86000
"bad" "debt_consolidation" 682 2200 NA
"good" "other" 727 20000 49000
"good" "debt_consolidation" 757 28000 85000
"good" "debt_consolidation" 747 6000 50000
"good" "debt_consolidation" 682 25000 105000
"bad" "debt_consolidation" 752 8000 NA
"good" "debt_consolidation" 727 14400 NA
"good" "debt_consolidation" 697 20000 60000
"good" "debt_consolidation" 727 25000 85000
"good" "major_purchase" 737 14050 120000
"good" "major_purchase" 677 6000 NA
"good" "debt_consolidation" 727 16100 36000
"bad" "debt_consolidation" 687 35000 85000
"good" "debt_consolidation" 737 10525 49668
"good" "debt_consolidation" 687 7200 30000
"good" "debt_consolidation" 812 18500 40000
"good" "debt_consolidation" 692 12000 40000
"good" "debt_consolidation" 697 12000 NA
"good" "other" 692 3000 NA
"good" "debt_consolidation" 667 9500 54011
"good" "debt_consolidation" 717 19775 49110.32
"bad" "debt_consolidation" 717 12000 75000
"good" "debt_consolidation" 737 28000 95000
"good" "debt_consolidation" 727 30000 80000
"good" "debt_consolidation" 732 16000 55000
"good" "debt_consolidation" 687 14500 90000
"good" "debt_consolidation" 727 11700 68500
"good" "debt_consolidation" 687 4150 NA
"good" "debt_consolidation" 737 15000 72000
"good" "debt_consolidation" 692 24000 70000
"bad" "other" 717 21250 37000
"good" "debt_consolidation" 682 10000 75000
"good" "debt_consolidation" 692 25000 75000
"good" "debt_consolidation" 667 4000 39000
"good" "debt_consolidation" 707 15000 NA
"good" "debt_consolidation" 717 20000 68000
"good" "home_improvement" 697 15000 110000
"good" "other" 682 3600 40000
"good" "debt_consolidation" 677 6000 31000
"bad" "debt_consolidation" 682 15000 60000
"good" "debt_consolidation" 672 12000 43000
"good" "debt_consolidation" 737 12375 NA
"bad" "home_improvement" 682 4000 NA
"good" "debt_consolidation" 707 13000 NA
"good" "home_improvement" 757 5000 39396
"good" "debt_consolidation" 662 5000 98000
"good" "debt_consolidation" 747 26000 62500
"bad" "debt_consolidation" 687 15000 95000
"bad" "home_improvement" 702 4000 45000
"good" "debt_consolidation" 732 8000 NA
"bad" "home_improvement" 727 1700 NA
"good" "debt_consolidation" 727 16000 NA
"good" "debt_consolidation" 777 20000 114996
"bad" "debt_consolidation" 677 12000 54400
"good" "debt_consolidation" 677 7000 72800
"bad" "debt_consolidation" 677 8000 42500
"good" "debt_consolidation" 662 13000 61000
"bad" "debt_consolidation" 682 13000 28000
"good" "debt_consolidation" 662 20000 120000
"good" "debt_consolidation" 682 18000 96000
"good" "debt_consolidation" 672 10000 83200
"good" "debt_consolidation" 717 22250 45000
"bad" "debt_consolidation" 702 24000 68809
"bad" "major_purchase" 682 11200 NA
"good" "other" 702 7000 NA
"good" "home_improvement" 767 8000 57600
"good" "debt_consolidation" 722 22500 48500
"good" "debt_consolidation" 662 12000 NA
"good" "debt_consolidation" 702 22000 58000
"good" "debt_consolidation" 702 6200 NA
"good" "debt_consolidation" 727 15900 NA
"good" "other" 702 5000 70000
"good" "other" 802 16000 NA
"good" "major_purchase" 722 5000 NA
"good" "vacation_wedding" 672 3150 53000
"bad" "debt_consolidation" 692 12000 28000
"bad" "home_improvement" 747 28000 118000
"good" "vacation_wedding" 672 5000 NA
"good" "other" 727 3000 NA
"bad" "other" 737 3000 NA
"good" "debt_consolidation" 737 8400 25000
"good" "debt_consolidation" 687 7000 36000
"good" "debt_consolidation" 672 18550 45000
"good" "other" 712 2000 231252
"good" "debt_consolidation" 712 12000 NA
"bad" "debt_consolidation" 667 8575 32000
"bad" "debt_consolidation" 742 28000 84996
"good" "debt_consolidation" 737 10000 NA
"good" "debt_consolidation" 672 25000 92000
"good" "debt_consolidation" 702 8000 NA
"bad" "debt_consolidation" 697 16000 49000
"good" "debt_consolidation" 722 25000 76896
"good" "other" 697 2000 NA
"good" "debt_consolidation" 712 16800 60000
"good" "debt_consolidation" 712 8000 NA
"good" "debt_consolidation" 707 12000 NA
"bad" "debt_consolidation" 727 11000 NA
"bad" "medical" 662 5000 85000
"good" "debt_consolidation" 682 18000 140000
"bad" "debt_consolidation" 697 10000 36000
"good" "debt_consolidation" 707 5000 70000
"good" "debt_consolidation" 672 10000 51360
"good" "vacation_wedding" 757 25000 163000
"good" "medical" 682 2400 59393
"bad" "other" 662 3000 NA
"bad" "other" 662 7700 29772.96
"good" "other" 707 2400 12996
"bad" "debt_consolidation" 677 18500 68000
"good" "debt_consolidation" 692 5000 NA
"good" "debt_consolidation" 662 14000 88000
"bad" "debt_consolidation" 692 24500 85000
"good" "major_purchase" 702 2400 NA
"good" "other" 677 1800 NA
"bad" "debt_consolidation" 672 22200 160000
"good" "debt_consolidation" 677 21400 80000
"bad" "debt_consolidation" 747 13000 NA
"good" "major_purchase" 697 8000 NA
"bad" "medical" 682 3600 NA
"bad" "other" 672 12375 NA
"good" "debt_consolidation" 712 9400 45500
"good" "home_improvement" 697 9600 156000
"good" "debt_consolidation" 712 17000 40000
"good" "debt_consolidation" 687 25000 96000
"good" "debt_consolidation" 702 16950 50000
"good" "debt_consolidation" 722 30000 80000
"good" "debt_consolidation" 667 10800 110000
"good" "debt_consolidation" 727 6000 NA
"good" "debt_consolidation" 742 35000 106000
"good" "debt_consolidation" 707 10000 NA
"good" "debt_consolidation" 672 15000 51000
"good" "other" 687 5000 NA
"good" "debt_consolidation" 682 3000 35000
"bad" "debt_consolidation" 677 7100 NA
"good" "debt_consolidation" 667 12000 NA
"good" "debt_consolidation" 662 22400 NA
"good" "debt_consolidation" 712 5825 NA
"bad" "debt_consolidation" 692 22250 41000
"good" "debt_consolidation" 702 18000 50000
"good" "debt_consolidation" 687 6000 30000
"bad" "debt_consolidation" 707 7650 57000
"good" "debt_consolidation" 697 21000 110000
"bad" "other" 722 20675 50132
"good" "debt_consolidation" 732 13200 62500
"good" "debt_consolidation" 737 12000 60000
"good" "debt_consolidation" 687 20000 130000
"good" "home_improvement" 777 15000 NA
"good" "debt_consolidation" 702 27050 65000
"good" "debt_consolidation" 712 22500 67735
"bad" "debt_consolidation" 737 20500 47800
"good" "debt_consolidation" 687 12800 NA
"good" "other" 747 27575 54000
"good" "debt_consolidation" 687 7000 NA
"good" "other" 687 7600 33996
"bad" "debt_consolidation" 747 29000 65000
"good" "other" 692 10000 44160
"good" "debt_consolidation" 732 14125 32000
"good" "debt_consolidation" 747 12000 94500
"good" "debt_consolidation" 737 9575 19498
"good" "debt_consolidation" 687 12000 NA
"bad" "debt_consolidation" 672 12000 NA
"good" "debt_consolidation" 677 10000 45000
"good" "debt_consolidation" 667 10000 NA
"good" "debt_consolidation" 737 25000 89000
"good" "debt_consolidation" 732 24000 120000
"good" "debt_consolidation" 717 14575 NA
"good" "debt_consolidation" 742 9000 50000
"bad" "debt_consolidation" 677 10000 NA
"good" "debt_consolidation" 677 7125 NA
"good" "debt_consolidation" 747 15000 NA
"good" "debt_consolidation" 687 13000 NA
"good" "debt_consolidation" 722 12000 NA
"good" "debt_consolidation" 662 18000 68000
"good" "small_business" 732 30000 90000
"bad" "home_improvement" 682 21600 58600
"good" "small_business" 717 7600 50000
"good" "debt_consolidation" 687 7000 85000
"good" "debt_consolidation" 712 7000 45000
"good" "other" 662 3600 44004
"good" "major_purchase" 667 3500 NA
"good" "medical" 722 5000 NA
"good" "debt_consolidation" 722 10000 60000
"good" "debt_consolidation" 677 4500 19200
"good" "debt_consolidation" 712 12000 NA
"good" "debt_consolidation" 672 12000 NA
"good" "debt_consolidation" 707 10700 68000
"good" "debt_consolidation" 702 6000 NA
"good" "vacation_wedding" 752 20000 50000
"good" "debt_consolidation" 697 10800 23000
"good" "debt_consolidation" 697 25000 50400
"good" "debt_consolidation" 707 20000 110000
"good" "vacation_wedding" 672 3600 NA
"good" "debt_consolidation" 702 6000 83954
"good" "debt_consolidation" 677 10375 NA
"good" "debt_consolidation" 737 25000 60000
"good" "debt_consolidation" 662 10000 40000
"good" "small_business" 747 10000 42336
"good" "major_purchase" 772 5600 NA
"good" "major_purchase" 687 6000 NA
"good" "debt_consolidation" 727 8000 NA
"good" "debt_consolidation" 742 35000 90000
